Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
6.4,56.62029,57.81367,55.16145,60.53551,60.04785,61.47963,58.20868,59.31415,61.74694,58.03243,68.22508,60.43716,3
6.5,56.62029,57.81367,55.16286,60.53523,60.04766,61.4801,58.20868,59.31415,61.74694,58.03137,68.22814,60.43716,3
6.6,56.6184,57.81271,55.16286,60.53523,60.04766,61.4801,58.20833,59.31335,61.74922,58.03137,68.22814,60.43775,3
6.7,56.6184,57.81271,55.1651,60.54492,60.0472,61.47926,58.20833,59.31335,61.74922,58.03232,68.23094,60.43787,3
6.8,56.62441,57.824,55.1689,60.54492,60.0472,61.47926,58.20789,59.31421,61.74939,58.03182,68.23094,60.43787,3
6.9,56.62549,57.824,55.1689,60.55648,60.04815,61.47969,58.20789,59.31421,61.74939,58.03182,68.2322,60.43733,3
7,56.62549,57.82921,55.17254,60.55648,60.04815,61.47969,58.20805,59.31399,61.75038,58.03126,68.23597,60.43733,3
7.1,56.63058,57.82921,55.17254,60.56551,60.04887,61.47955,58.20805,59.31399,61.75358,58.03126,68.23597,60.43787,3
7.2,56.63058,57.84066,55.17807,60.59316,60.04887,61.47955,58.20811,59.31259,61.75358,58.03165,68.23686,60.43704,3
7.3,56.63714,57.86522,55.17807,60.59316,60.04985,61.48036,58.20811,59.31259,61.75499,58.03154,68.23686,60.43704,3
7.4,56.63714,57.86522,55.18833,60.62362,60.04985,61.48036,58.20823,59.3138,61.75499,58.03154,68.23749,60.43727,3
